order_id,date,customer_id,category,product,amount,status
ORD-000028,2024-12-19,4670,Toys,Doll,168.0,COMPLETED
ORD-000029,2024-06-04,2259,Electronics,Laptop,128.04,RETURNED
ORD-000030,2024-11-27,4586,Clothing,T-Shirt,93.4,COMPLETED
ORD-000031,2024-06-01,2189,Books,Novel,230.82,PENDING
ORD-000032,2024-12-21,2985,Books,Textbook,422.22,COMPLETED
ORD-000033,2024-06-07,2916,Toys,Action Figure,300.39,COMPLETED
ORD-000034,2024-09-22,3734,Clothing,T-Shirt,159.45,COMPLETED
ORD-000035,2024-01-28,2236,Books,Textbook,96.43,COMPLETED
ORD-000036,2024-06-01,1879,Clothing,Jeans,360.82,COMPLETED
ORD-000037,2024-10-10,4572,Electronics,Laptop,364.87,COMPLETED
ORD-000038,2024-07-23,1508,Home & Garden,Lamp,335.35,COMPLETED
ORD-000039,2024-08-25,3538,Toys,Lego Set,233.46,COMPLETED
ORD-000040,2024-03-11,1292,Clothing,Sneakers,364.13,CANCELLED
ORD-000041,2024-04-28,2107,Electronics,Smartphone,274.48,COMPLETED
ORD-000042,2024-03-22,4963,Electronics,Headphones,483.88,COMPLETED
ORD-000043,2024-07-06,2774,Books,Cookbook,292.68,CANCELLED
ORD-000044,2024-11-14,3840,Toys,Board Game,149.4,RETURNED
ORD-000045,2024-11-14,3940,Electronics,Smartphone,296.86,PENDING
ORD-000046,2024-12-09,4525,Electronics,Monitor,177.13,COMPLETED
ORD-000047,2024-04-10,3285,Home & Garden,Lamp,381.04,RETURNED
ORD-000048,2024-01-16,2255,Books,Cookbook,387.99,COMPLETED
ORD-000049,2024-10-20,2782,Electronics,Monitor,178.52,COMPLETED
ORD-000050,2024-05-16,4733,Home & Garden,Sofa,339.29,COMPLETED
ORD-000051,2024-10-18,2627,Toys,Board Game,241.19,COMPLETED
ORD-000052,2024-03-03,4698,Electronics,Monitor,196.15,RETURNED
ORD-000053,2024-09-27,4641,Books,Cookbook,141.31,COMPLETED
ORD-000054,2024-08-28,3059,Home & Garden,Table,98.06,CANCELLED
ORD-000055,2024-01-07,2079,Home & Garden,Lamp,161.52,COMPLETED
ORD-000056,2024-06-14,4179,Home & Garden,Lamp,443.98,COMPLETED
ORD-000057,2024-04-18,4155,Clothing,Jeans,78.71,COMPLETED
ORD-000058,2024-11-24,2098,Books,Textbook,476.29,COMPLETED
ORD-000059,2024-08-15,4194,Home & Garden,Table,23.68,PENDING
ORD-000060,2024-08-29,3705,Electronics,Headphones,210.62,COMPLETED
ORD-000061,2024-12-27,2994,Books,Textbook,72.89,COMPLETED
ORD-000062,2024-03-21,3371,Books,Comic,117.75,COMPLETED
ORD-000063,2024-02-02,1658,Home & Garden,Sofa,402.43,COMPLETED
ORD-000064,2024-12-08,2710,Books,Novel,187.68,CANCELLED
ORD-000065,2024-12-15,4506,Books,Novel,191.05,COMPLETED
ORD-000066,2024-08-10,1747,Clothing,Jeans,196.15,CANCELLED
ORD-000067,2024-09-29,4186,Clothing,T-Shirt,166.24,COMPLETED
ORD-000068,2024-07-11,4968,Clothing,Jacket,229.72,COMPLETED
ORD-000069,2024-03-07,1948,Clothing,Jacket,166.01,PENDING
ORD-000070,2024-11-04,4783,Clothing,T-Shirt,331.51,COMPLETED
ORD-000071,2024-10-21,3964,Books,Cookbook,498.85,COMPLETED
ORD-000072,2024-07-13,1775,Toys,Doll,332.08,COMPLETED
ORD-000073,2024-09-25,3694,Books,Comic,441.24,COMPLETED
ORD-000074,2024-05-02,1680,Toys,Board Game,401.08,COMPLETED
ORD-000075,2024-10-28,1060,Home & Garden,Chair,251.41,COMPLETED
ORD-000076,2024-07-31,3598,Books,Comic,216.9,PENDING
ORD-000077,2024-10-11,3577,Clothing,Jeans,227.64,COMPLETED
ORD-000078,2024-06-23,1157,Home & Garden,Sofa,305.99,COMPLETED
ORD-000079,2024-04-30,4510,Toys,Lego Set,142.31,COMPLETED
ORD-000080,2024-12-24,1988,Clothing,T-Shirt,199.6,COMPLETED
ORD-000081,2024-10-21,3190,Electronics,Laptop,19.09,CANCELLED
ORD-000082,2024-03-03,4788,Books,Textbook,388.52,COMPLETED
ORD-000083,2024-01-06,4963,Toys,Board Game,331.47,COMPLETED
ORD-000084,2024-01-03,1825,Home & Garden,Sofa,67.88,COMPLETED
ORD-000085,2024-04-06,4084,Home & Garden,Chair,292.55,COMPLETED
ORD-000086,2024-01-07,2793,Toys,Doll,368.79,COMPLETED
ORD-000087,2024-07-08,3335,Toys,Doll,125.53,COMPLETED
ORD-000088,2024-01-16,2411,Toys,Action Figure,431.51,RETURNED
ORD-000089,2024-03-10,2395,Books,Novel,110.33,RETURNED
ORD-000090,2024-11-29,3918,Clothing,Sneakers,164.64,COMPLETED
ORD-000091,2024-07-01,1045,Clothing,Jeans,288.63,COMPLETED
ORD-000092,2024-05-21,3635,Clothing,Jacket,133.51,COMPLETED
ORD-000093,2024-01-17,2014,Clothing,T-Shirt,86.52,COMPLETED
ORD-000094,2024-03-04,3406,Home & Garden,Sofa,474.02,COMPLETED
ORD-000095,2024-07-30,4939,Clothing,Sneakers,252.64,COMPLETED
ORD-000096,2024-11-24,1592,Home & Garden,Table,215.53,RETURNED
ORD-000097,2024-12-19,3377,Books,Cookbook,251.61,COMPLETED
ORD-000098,2024-10-29,3926,Clothing,Jeans,224.13,COMPLETED
ORD-000099,2024-11-07,2087,Home & Garden,Table,335.95,COMPLETED
ORD-000100,2024-07-13,3192,Books,Comic,24.75,CANCELLED
ORD-000101,2024-12-12,1505,Electronics,Monitor,244.77,COMPLETED
ORD-000102,2024-12-24,4712,Clothing,Jacket,248.85,PENDING
ORD-000103,2024-11-18,4304,Toys,Doll,182.25,PENDING
ORD-000104,2024-09-03,4494,Toys,Action Figure,450.89,COMPLETED
ORD-000105,2024-11-10,1613,Clothing,Sneakers,74.08,COMPLETED
ORD-000106,2024-02-27,2925,Toys,Board Game,198.63,COMPLETED
ORD-000107,2024-08-20,2588,Clothing,Jacket,144.45,RETURNED
ORD-000108,2024-08-07,2295,Electronics,Laptop,20.99,COMPLETED
ORD-000109,2024-04-22,1818,Electronics,Headphones,31.61,COMPLETED
ORD-000110,2024-11-08,1645,Electronics,Headphones,22.36,CANCELLED
ORD-000111,2024-04-13,2552,Clothing,Jacket,259.72,COMPLETED
ORD-000112,2024-04-03,3190,Books,Novel,264.62,COMPLETED
ORD-000113,2024-01-25,4105,Clothing,Jeans,156.7,COMPLETED
ORD-000114,2024-10-22,3711,Home & Garden,Lamp,385.6,COMPLETED
ORD-000115,2024-05-27,1064,Toys,Lego Set,148.62,CANCELLED
ORD-000116,2024-10-23,1692,Clothing,Jacket,340.28,RETURNED
ORD-000117,2024-07-18,2264,Home & Garden,Lamp,394.17,COMPLETED
ORD-000118,2024-06-28,2361,Toys,Lego Set,125.77,COMPLETED
ORD-000119,2024-11-01,3308,Electronics,Laptop,249.01,COMPLETED
ORD-000120,2024-08-27,2061,Clothing,T-Shirt,198.55,COMPLETED
ORD-000121,2024-03-21,2506,Home & Garden,Table,144.6,COMPLETED
ORD-000122,2024-03-12,2437,Toys,Action Figure,170.57,COMPLETED
ORD-000123,2024-11-12,1689,Clothing,Sneakers,144.15,COMPLETED
ORD-000124,2024-02-25,1477,Toys,Lego Set,15.38,CANCELLED
ORD-000125,2024-01-01,4000,Toys,Lego Set,124.89,COMPLETED
ORD-000126,2024-01-27,4656,Home & Garden,Chair,277.81,RETURNED
ORD-000127,2024-07-05,4801,Electronics,Laptop,219.57,COMPLETED
ORD-000128,2024-09-19,3118,Books,Novel,204.5,COMPLETED
ORD-000129,2024-03-08,4752,Books,Comic,487.0,PENDING
ORD-000130,2024-03-17,2673,Home & Garden,Sofa,400.13,CANCELLED
ORD-000131,2024-08-11,3554,Electronics,Headphones,143.78,COMPLETED
ORD-000132,2024-08-04,4812,Electronics,Laptop,227.51,COMPLETED
ORD-000133,2024-09-21,4976,Books,Textbook,414.16,COMPLETED
ORD-000134,2024-01-13,1603,Home & Garden,Lamp,418.45,COMPLETED
ORD-000135,2024-07-26,2607,Clothing,Sneakers,237.69,PENDING
ORD-000136,2024-04-08,1102,Clothing,T-Shirt,90.69,COMPLETED
ORD-000137,2024-06-06,2479,Electronics,Laptop,61.04,COMPLETED
ORD-000138,2024-10-27,3905,Clothing,Jeans,482.15,COMPLETED
ORD-000139,2024-12-07,2488,Clothing,Jacket,242.11,RETURNED
ORD-000140,2024-01-31,2188,Home & Garden,Sofa,157.38,COMPLETED
ORD-000141,2024-04-12,1380,Books,Cookbook,497.81,COMPLETED
ORD-000142,2024-08-17,3211,Home & Garden,Lamp,156.59,COMPLETED
ORD-000143,2024-07-16,4234,Toys,Board Game,81.74,COMPLETED
ORD-000144,2024-03-02,2392,Electronics,Laptop,374.79,CANCELLED
ORD-000145,2024-06-15,2631,Home & Garden,Sofa,103.45,COMPLETED
ORD-000146,2024-12-20,1698,Clothing,Jeans,62.17,COMPLETED
ORD-000147,2024-10-23,3746,Books,Textbook,148.84,CANCELLED
ORD-000148,2024-02-17,3314,Books,Novel,26.01,COMPLETED
ORD-000149,2024-06-19,3717,Electronics,Headphones,77.78,COMPLETED
ORD-000150,2024-05-29,1035,Toys,Action Figure,358.37,COMPLETED
ORD-000151,2024-01-20,4403,Toys,Doll,301.73,COMPLETED
ORD-000152,2024-03-30,4818,Electronics,Monitor,55.45,COMPLETED
ORD-000153,2024-11-14,3042,Books,Textbook,262.11,COMPLETED
ORD-000154,2024-01-12,2019,Clothing,Sneakers,284.37,COMPLETED
ORD-000155,2024-03-14,3666,Toys,Board Game,387.94,COMPLETED
ORD-000156,2024-06-11,4119,Home & Garden,Table,266.96,COMPLETED
ORD-000157,2024-08-17,3437,Home & Garden,Sofa,393.83,COMPLETED
ORD-000158,2024-03-18,1949,Toys,Lego Set,487.12,COMPLETED
ORD-000159,2024-11-02,3554,Toys,Action Figure,395.97,COMPLETED
ORD-000160,2024-01-31,4776,Clothing,T-Shirt,347.78,COMPLETED
ORD-000161,2024-06-21,1231,Clothing,T-Shirt,318.68,COMPLETED
ORD-000162,2024-03-23,3497,Clothing,T-Shirt,136.47,COMPLETED
ORD-000163,2024-03-03,3285,Clothing,Sneakers,202.9,COMPLETED
ORD-000164,2024-07-17,1239,Clothing,T-Shirt,11.54,COMPLETED
ORD-000165,2024-07-14,3644,Clothing,Sneakers,326.07,COMPLETED
ORD-000166,2024-07-16,2131,Books,Novel,72.04,COMPLETED
ORD-000167,2024-07-26,4761,Books,Textbook,264.94,COMPLETED
ORD-000168,2024-01-09,3153,Toys,Action Figure,273.27,COMPLETED
ORD-000169,2024-11-20,4426,Books,Novel,151.96,RETURNED
ORD-000170,2024-07-17,3228,Electronics,Smartphone,381.37,PENDING
ORD-000171,2024-03-05,1544,Electronics,Laptop,91.7,RETURNED
ORD-000172,2024-05-13,4654,Electronics,Headphones,261.54,COMPLETED
ORD-000173,2024-02-18,3977,Toys,Doll,279.55,COMPLETED
ORD-000174,2024-08-01,3579,Home & Garden,Lamp,101.98,COMPLETED
ORD-000175,2024-10-18,2137,Home & Garden,Sofa,249.1,COMPLETED
ORD-000176,2024-06-30,3859,Electronics,Monitor,337.7,COMPLETED
ORD-000177,2024-07-19,3029,Books,Textbook,371.64,COMPLETED
ORD-000178,2024-07-27,1574,Toys,Board Game,100.53,COMPLETED
ORD-000179,2024-10-02,4895,Toys,Action Figure,407.25,COMPLETED
ORD-000180,2024-09-23,4416,Books,Novel,449.76,RETURNED
ORD-000181,2024-06-12,2147,Toys,Doll,426.36,RETURNED
ORD-000182,2024-08-19,4418,Home & Garden,Sofa,437.48,RETURNED
ORD-000183,2024-07-25,4923,Clothing,Jacket,322.0,COMPLETED
ORD-000184,2024-07-17,2654,Electronics,Laptop,437.44,COMPLETED
ORD-000185,2024-10-25,1857,Home & Garden,Chair,354.43,CANCELLED
ORD-000186,2024-01-16,2941,Electronics,Monitor,374.02,COMPLETED
ORD-000187,2024-06-07,2157,Electronics,Headphones,314.79,COMPLETED
ORD-000188,2024-11-10,2636,Clothing,Jacket,352.57,COMPLETED
ORD-000189,2024-03-03,2100,Electronics,Laptop,460.38,RETURNED
ORD-000190,2024-03-15,4648,Clothing,T-Shirt,20.35,COMPLETED
ORD-000191,2024-01-26,3666,Clothing,Jacket,407.18,PENDING
ORD-000192,2024-11-10,4424,Books,Novel,30.27,COMPLETED
ORD-000193,2024-07-18,2726,Electronics,Laptop,447.87,COMPLETED
ORD-000194,2024-02-07,2707,Books,Comic,401.03,PENDING
ORD-000195,2024-10-01,2898,Home & Garden,Chair,415.27,RETURNED
ORD-000196,2024-10-02,1695,Electronics,Headphones,409.12,COMPLETED
ORD-000197,2024-08-22,4259,Electronics,Smartphone,480.28,COMPLETED
ORD-000198,2024-03-10,1835,Books,Cookbook,243.17,COMPLETED
ORD-000199,2024-05-02,2384,Electronics,Laptop,94.02,COMPLETED
ORD-000200,2024-04-30,3097,Clothing,T-Shirt,47.2,COMPLETED
ORD-000201,2024-05-02,3382,Clothing,T-Shirt,386.41,COMPLETED
ORD-000202,2024-02-04,1610,Home & Garden,Lamp,83.78,COMPLETED
ORD-000203,2024-08-26,1522,Books,Textbook,384.26,COMPLETED
ORD-000204,2024-10-06,3360,Books,Comic,127.49,COMPLETED
ORD-000205,2024-07-11,3917,Electronics,Monitor,398.84,COMPLETED
ORD-000206,2024-10-25,2092,Books,Textbook,378.46,COMPLETED
ORD-000207,2024-08-20,4505,Books,Textbook,47.2,CANCELLED
ORD-000208,2024-11-18,2796,Electronics,Smartphone,248.79,COMPLETED
ORD-000209,2024-04-20,3090,Home & Garden,Lamp,243.53,CANCELLED
ORD-000210,2024-04-14,4302,Toys,Board Game,266.21,COMPLETED
ORD-000211,2024-04-03,4938,Electronics,Monitor,401.79,COMPLETED
ORD-000212,2024-10-02,4646,Home & Garden,Sofa,444.73,COMPLETED
ORD-000213,2024-06-21,2030,Clothing,Jacket,248.16,COMPLETED
ORD-000214,2024-10-15,3160,Books,Novel,468.51,COMPLETED
ORD-000215,2024-03-11,1439,Electronics,Smartphone,165.88,RETURNED
ORD-000216,2024-05-25,2975,Clothing,Jeans,328.44,CANCELLED
ORD-000217,2024-04-17,4480,Home & Garden,Sofa,407.67,COMPLETED
ORD-000218,2024-06-29,3126,Clothing,Jacket,364.57,COMPLETED
ORD-000219,2024-11-28,2237,Electronics,Laptop,69.25,CANCELLED
ORD-000220,2024-07-26,1641,Toys,Doll,173.17,COMPLETED
ORD-000221,2024-04-11,3258,Toys,Action Figure,375.75,COMPLETED
ORD-000222,2024-06-11,2352,Toys,Doll,379.34,COMPLETED
ORD-000223,2024-06-02,2153,Books,Textbook,440.29,CANCELLED
ORD-000224,2024-05-15,4514,Home & Garden,Lamp,142.99,COMPLETED
ORD-000225,2024-11-29,4823,Home & Garden,Lamp,103.85,COMPLETED
ORD-000226,2024-11-01,4490,Clothing,T-Shirt,369.44,COMPLETED
ORD-000227,2024-04-30,2850,Toys,Board Game,207.86,COMPLETED
ORD-000228,2024-05-13,2331,Books,Cookbook,367.34,COMPLETED
ORD-000229,2024-01-18,1818,Home & Garden,Sofa,297.52,COMPLETED
ORD-000230,2024-09-29,3364,Books,Textbook,257.09,RETURNED
ORD-000231,2024-07-01,4183,Home & Garden,Chair,237.94,COMPLETED
ORD-000232,2024-07-03,2016,Home & Garden,Lamp,375.02,PENDING
ORD-000233,2024-11-30,1432,Electronics,Smartphone,37.87,COMPLETED
ORD-000234,2024-10-07,3091,Electronics,Laptop,65.74,COMPLETED
ORD-000235,2024-03-31,2564,Clothing,Sneakers,193.2,CANCELLED
ORD-000236,2024-07-02,2607,Books,Textbook,58.8,COMPLETED
ORD-000237,2024-10-08,4898,Clothing,Jeans,149.5,COMPLETED
ORD-000238,2024-06-18,2396,Home & Garden,Sofa,163.07,COMPLETED
ORD-000239,2024-10-12,4605,Toys,Board Game,410.51,COMPLETED
ORD-000240,2024-04-04,3734,Books,Comic,462.64,CANCELLED
ORD-000241,2024-09-04,3724,Books,Cookbook,412.52,COMPLETED
ORD-000242,2024-01-07,4482,Clothing,Jacket,101.76,COMPLETED
ORD-000243,2024-07-29,4557,Toys,Lego Set,156.86,RETURNED
ORD-000244,2024-09-06,3685,Home & Garden,Chair,275.92,COMPLETED
ORD-000245,2024-08-07,1064,Toys,Lego Set,289.37,RETURNED
ORD-000246,2024-12-15,3616,Clothing,Jacket,460.67,COMPLETED
ORD-000247,2024-01-02,3804,Books,Textbook,467.7,CANCELLED
ORD-000248,2024-08-15,2025,Toys,Action Figure,204.42,CANCELLED
ORD-000249,2024-11-12,4159,Clothing,Sneakers,449.87,COMPLETED
ORD-000250,2024-06-22,1227,Books,Cookbook,257.05,COMPLETED
ORD-000251,2024-04-01,4433,Electronics,Monitor,425.09,PENDING
ORD-000252,2024-04-09,1733,Books,Cookbook,415.05,COMPLETED
ORD-000253,2024-02-12,2701,Books,Novel,417.29,COMPLETED
ORD-000254,2024-03-03,4498,Books,Cookbook,310.04,CANCELLED
ORD-000255,2024-03-31,3018,Books,Novel,408.81,COMPLETED
ORD-000256,2024-12-03,3031,Books,Novel,424.85,COMPLETED
ORD-000257,2024-02-11,1696,Toys,Lego Set,131.84,RETURNED
ORD-000258,2024-04-05,1475,Toys,Doll,81.58,COMPLETED
ORD-000259,2024-09-27,1751,Books,Novel,386.02,COMPLETED
ORD-000260,2024-05-03,1556,Home & Garden,Lamp,384.58,COMPLETED
ORD-000261,2024-06-01,2157,Toys,Doll,126.02,COMPLETED
ORD-000262,2024-06-03,4713,Books,Comic,214.85,COMPLETED
ORD-000263,2024-03-17,3258,Home & Garden,Sofa,24.84,COMPLETED
ORD-000264,2024-02-16,3824,Clothing,T-Shirt,282.18,COMPLETED
ORD-000265,2024-09-20,4207,Electronics,Monitor,35.92,RETURNED
ORD-000266,2024-06-21,3863,Electronics,Laptop,260.39,COMPLETED
ORD-000267,2024-02-16,3062,Toys,Action Figure,349.91,COMPLETED
ORD-000268,2024-09-21,1682,Books,Textbook,85.46,COMPLETED
ORD-000269,2024-09-25,1871,Home & Garden,Table,104.26,PENDING
ORD-000270,2024-05-18,3463,Toys,Board Game,307.09,COMPLETED
ORD-000271,2024-07-29,2053,Clothing,Jeans,162.69,COMPLETED
ORD-000272,2024-06-21,1397,Clothing,T-Shirt,418.26,COMPLETED
ORD-000273,2024-02-01,3015,Home & Garden,Chair,470.27,PENDING
ORD-000274,2024-07-03,1529,Home & Garden,Table,348.23,COMPLETED
ORD-000275,2024-02-28,2570,Toys,Board Game,410.99,COMPLETED
ORD-000276,2024-04-16,3993,Books,Comic,290.03,CANCELLED
ORD-000277,2024-08-19,1090,Home & Garden,Table,489.62,COMPLETED
ORD-000278,2024-10-16,1858,Electronics,Smartphone,251.93,COMPLETED
ORD-000279,2024-01-27,3616,Clothing,Jacket,142.85,RETURNED
ORD-000280,2024-02-26,1433,Home & Garden,Sofa,109.98,COMPLETED
ORD-000281,2024-08-02,2645,Home & Garden,Chair,65.72,COMPLETED
ORD-000282,2024-10-23,4117,Home & Garden,Table,480.68,COMPLETED
ORD-000283,2024-10-31,1515,Clothing,Jacket,117.94,PENDING
ORD-000284,2024-03-07,1443,Books,Textbook,379.11,COMPLETED
ORD-000285,2024-01-26,3450,Electronics,Smartphone,324.51,COMPLETED
ORD-000286,2024-09-01,2770,Electronics,Headphones,65.4,COMPLETED
ORD-000287,2024-11-07,3053,Toys,Lego Set,390.88,COMPLETED
ORD-000288,2024-01-17,3048,Home & Garden,Lamp,28.19,CANCELLED
ORD-000289,2024-04-30,4006,Electronics,Laptop,122.12,RETURNED
ORD-000290,2024-10-03,2484,Home & Garden,Chair,71.9,COMPLETED
ORD-000291,2024-12-26,3765,Home & Garden,Lamp,329.08,COMPLETED
ORD-000292,2024-03-19,3425,Books,Textbook,479.69,COMPLETED
ORD-000293,2024-05-30,1822,Clothing,Jacket,156.57,COMPLETED
ORD-000294,2024-10-13,2234,Toys,Lego Set,329.64,CANCELLED
ORD-000295,2024-10-08,3628,Electronics,Smartphone,123.93,COMPLETED
ORD-000296,2024-04-12,3045,Home & Garden,Chair,470.88,COMPLETED
ORD-000297,2024-02-13,2585,Clothing,T-Shirt,409.38,CANCELLED
ORD-000298,2024-11-11,1409,Books,Comic,266.03,COMPLETED
ORD-000299,2024-05-06,1949,Books,Comic,367.42,CANCELLED
ORD-000300,2024-10-28,1945,Books,Textbook,67.67,PENDING
ORD-000301,2024-04-28,4563,Toys,Doll,462.12,CANCELLED
ORD-000302,2024-09-15,4603,Books,Novel,488.42,COMPLETED
ORD-000303,2024-08-23,2712,Clothing,Jeans,376.84,COMPLETED
ORD-000304,2024-10-01,2244,Toys,Action Figure,34.15,CANCELLED
ORD-000305,2024-04-12,2853,Clothing,Jeans,464.94,COMPLETED
ORD-000306,2024-11-20,1628,Books,Novel,165.82,CANCELLED
ORD-000307,2024-06-10,3628,Home & Garden,Table,325.53,RETURNED
ORD-000308,2024-04-27,1148,Clothing,T-Shirt,164.37,COMPLETED
ORD-000309,2024-12-31,3830,Electronics,Laptop,208.46,RETURNED
ORD-000310,2024-07-31,2569,Home & Garden,Chair,374.43,COMPLETED
ORD-000311,2024-11-09,1194,Clothing,Sneakers,409.02,CANCELLED
ORD-000312,2024-06-22,4806,Home & Garden,Chair,271.75,RETURNED
ORD-000313,2024-05-02,3807,Home & Garden,Lamp,187.01,CANCELLED
ORD-000314,2024-05-24,1754,Home & Garden,Table,207.32,COMPLETED
ORD-000315,2024-05-23,4699,Clothing,Jacket,282.96,RETURNED
ORD-000316,2024-07-08,4649,Toys,Lego Set,80.04,COMPLETED
ORD-000317,2024-12-03,3874,Home & Garden,Table,96.81,COMPLETED
ORD-000318,2024-08-06,3919,Books,Comic,222.17,COMPLETED
ORD-000319,2024-11-20,3633,Electronics,Smartphone,24.75,COMPLETED
ORD-000320,2024-04-27,2680,Electronics,Monitor,489.74,COMPLETED
ORD-000321,2024-07-23,2545,Clothing,T-Shirt,477.55,PENDING
ORD-000322,2024-01-23,3799,Clothing,Jeans,355.59,PENDING
ORD-000323,2024-04-13,3244,Books,Textbook,343.94,COMPLETED
ORD-000324,2024-10-24,4858,Books,Novel,492.52,COMPLETED
ORD-000325,2024-06-18,3984,Books,Comic,335.36,COMPLETED
ORD-000326,2024-10-25,1440,Home & Garden,Table,236.49,COMPLETED
ORD-000327,2024-06-19,4772,Toys,Lego Set,496.79,COMPLETED
ORD-000328,2024-09-21,2620,Books,Comic,196.17,COMPLETED
ORD-000329,2024-08-17,2220,Books,Cookbook,27.01,CANCELLED
ORD-000330,2024-10-01,1762,Clothing,T-Shirt,238.08,COMPLETED
ORD-000331,2024-10-31,1254,Home & Garden,Table,369.7,CANCELLED
ORD-000332,2024-10-04,3376,Toys,Lego Set,19.92,COMPLETED
ORD-000333,2024-02-09,2139,Clothing,Jeans,184.57,COMPLETED
ORD-000334,2024-03-22,2414,Books,Novel,145.49,PENDING
ORD-000335,2024-03-03,3167,Electronics,Monitor,293.33,COMPLETED
ORD-000336,2024-05-22,2303,Home & Garden,Table,42.99,COMPLETED
ORD-000337,2024-03-27,2623,Books,Comic,448.62,COMPLETED
ORD-000338,2024-03-02,3419,Toys,Action Figure,65.43,COMPLETED
ORD-000339,2024-10-19,3708,Books,Textbook,368.7,COMPLETED
ORD-000340,2024-07-20,3107,Clothing,Jacket,73.51,COMPLETED
ORD-000341,2024-05-23,4773,Electronics,Monitor,265.3,PENDING
ORD-000342,2024-06-18,2712,Clothing,T-Shirt,43.35,COMPLETED
ORD-000343,2024-05-04,4046,Electronics,Headphones,399.62,CANCELLED
ORD-000344,2024-03-06,2858,Books,Novel,469.61,COMPLETED
ORD-000345,2024-01-11,1238,Electronics,Smartphone,427.75,COMPLETED
ORD-000346,2024-10-20,1734,Books,Textbook,183.73,CANCELLED
ORD-000347,2024-07-19,4028,Books,Novel,333.26,RETURNED
ORD-000348,2024-08-30,4472,Electronics,Monitor,380.36,COMPLETED
ORD-000349,2024-08-29,4681,Home & Garden,Lamp,372.71,CANCELLED
ORD-000350,2024-02-11,4365,Books,Textbook,186.37,COMPLETED
ORD-000351,2024-06-10,1962,Electronics,Headphones,272.01,CANCELLED
ORD-000352,2024-07-08,4929,Toys,Board Game,170.19,COMPLETED
ORD-000353,2024-03-08,3144,Toys,Doll,401.5,PENDING
ORD-000354,2024-01-24,2005,Toys,Lego Set,237.15,RETURNED
ORD-000355,2024-02-24,3469,Books,Cookbook,303.21,RETURNED
ORD-000356,2024-11-09,4999,Books,Novel,363.03,COMPLETED
ORD-000357,2024-06-23,2564,Books,Novel,287.87,COMPLETED
ORD-000358,2024-04-20,4259,Toys,Action Figure,366.59,COMPLETED
ORD-000359,2024-08-16,1480,Electronics,Laptop,495.46,CANCELLED
ORD-000360,2024-11-21,1135,Home & Garden,Table,236.53,PENDING
ORD-000361,2024-02-29,4899,Electronics,Smartphone,157.76,RETURNED
ORD-000362,2024-12-02,3982,Books,Cookbook,282.14,CANCELLED
ORD-000363,2024-07-12,2976,Toys,Lego Set,178.12,COMPLETED
ORD-000364,2024-04-04,3554,Home & Garden,Lamp,401.85,RETURNED
ORD-000365,2024-08-07,2669,Electronics,Smartphone,327.8,CANCELLED
ORD-000366,2024-04-25,2147,Clothing,T-Shirt,53.91,COMPLETED
ORD-000367,2024-10-19,1556,Electronics,Laptop,20.94,COMPLETED
ORD-000368,2024-10-10,4781,Electronics,Headphones,315.7,COMPLETED
ORD-000369,2024-11-28,3247,Home & Garden,Table,195.97,COMPLETED
ORD-000370,2024-04-23,3182,Books,Novel,449.97,COMPLETED
ORD-000371,2024-07-26,3407,Books,Novel,132.59,CANCELLED
